# time(s),voltage(V),current(A)
49.977705,0.994293,0.000004730
50.081897,0.994415,0.000004764
50.185477,0.994201,0.000004698
50.288539,0.994445,0.000004754
50.391363,0.994721,0.000004753
50.495702,0.994201,0.000004748
50.599265,0.994369,0.000004763
50.702070,0.995666,0.000004523
50.805065,0.994293,0.000004754
50.908447,0.995010,0.000004753
51.012069,0.994400,0.000004748
51.116035,0.994445,0.000004763
51.218938,0.994659,0.000004782
51.323057,0.994735,0.000004753
51.427252,0.994430,0.000004730
51.530751,0.994598,0.000004752
51.633850,0.994674,0.000004760
51.736655,0.994385,0.000004784
51.839713,0.994354,0.000004753
51.942857,0.994369,0.000004736
52.046925,0.994476,0.000004751
52.150565,0.994369,0.000004760
52.253589,0.994369,0.000004784
52.356466,0.994690,0.000004753
52.459418,0.994903,0.000004753
52.562435,0.994507,0.000004729
52.665410,0.994461,0.000004763
52.769861,0.994644,0.000004785
52.873371,0.994445,0.000004753
52.976735,0.994263,0.000004728
53.080164,0.994628,0.000004748
53.183114,0.994537,0.000004764
53.286661,0.994461,0.000004785
53.390089,0.993500,0.000004753
53.493015,0.994721,0.000004752
53.596066,0.994476,0.000004731
53.699120,0.994583,0.000004764
53.802963,0.994293,0.000004779
53.905960,0.994247,0.000004752
54.010286,0.994003,0.000004717
54.113918,0.994064,0.000004752
54.217873,0.994552,0.000004760
54.321767,0.994140,0.000004757
54.424623,0.994995,0.000004753
54.527633,0.994400,0.000004729
54.631872,0.994873,0.000004757
54.735541,0.994873,0.000004760
54.838442,0.994537,0.000004764
54.941503,0.994873,0.000004753
55.044400,0.994247,0.000004728
55.147302,0.994521,0.000004748
55.250324,0.994995,0.000004761
55.354395,0.994171,0.000004762
55.458254,0.995086,0.000004753
55.562248,0.994659,0.000004732
55.666014,0.994812,0.000004756
55.769033,0.994324,0.000004644
55.873208,0.994674,0.000004753
55.977046,0.994735,0.000004752
56.079959,0.994521,0.000004749
56.183941,0.994614,0.000004760
56.288304,0.994461,0.000004766
56.391547,0.994735,0.000004753
56.494632,0.994430,0.000004730
56.598422,0.994781,0.000004750
56.701427,0.994690,0.000004759
56.805327,0.994797,0.000004769
56.908257,0.994461,0.000004753
57.011012,0.994003,0.000004747
57.114125,0.994507,0.000004745
57.217521,0.994614,0.000004761
57.320932,0.994781,0.000004777
57.423764,0.994614,0.000004753
57.526701,0.995086,0.000004752
57.629820,0.994735,0.000004743
57.733701,0.994964,0.000004756
57.836469,0.994430,0.000004777
57.940387,0.994201,0.000004754
58.043319,0.994903,0.000004753
58.146250,0.994400,0.000004722
58.249162,0.994521,0.000004757
58.353587,0.993972,0.000004777
58.456994,0.994598,0.000004754
58.559969,0.994797,0.000004753
58.662970,0.994232,0.000004733
58.767010,0.994781,0.000004762
58.870611,0.994476,0.000004783
58.973557,0.994400,0.000004753
59.076527,0.994659,0.000004754
59.179641,0.994568,0.000004730
59.282431,0.994888,0.000004757
59.386649,0.994263,0.000004783
59.490220,0.994614,0.000004752
59.593199,0.995026,0.000004754
59.696318,0.994445,0.000004730
59.800180,0.994614,0.000004764
59.904113,0.994583,0.000004785
60.008069,0.994750,0.000004753
60.112124,0.994476,0.000004729
60.216393,0.994980,0.000004757
60.319954,0.994354,0.000004673
60.424182,0.994842,0.000004753
60.527629,0.995071,0.000004751
60.630746,0.994766,0.000004748
60.735509,0.995010,0.000004759
60.839942,0.994598,0.000004753
60.943276,0.994659,0.000004753
61.046206,0.995132,0.000004730
61.149146,0.994293,0.000004751
61.252268,0.995224,0.000004761
61.354874,0.995010,0.000004781
61.457957,0.994827,0.000004753
61.560937,0.994781,0.000004753
61.664082,0.994400,0.000004745
61.767887,0.994766,0.000004761
61.871637,0.994614,0.000004771
61.975954,0.994598,0.000004753
62.079542,0.994598,0.000004722
62.183498,0.995086,0.000004756
