# time(s),voltage(V),current(A),cycle_num,exp_num,voltage_applied(V)
350021.285653,-0.272526,0.000004780,0,0,-0.267143
352521.437694,-0.271931,-0.000001530,0,0,-0.267544
355021.589734,-0.271717,-0.000004537,0,0,-0.267944
357521.741775,-0.272282,0.000005000,0,0,-0.268345
360021.893815,-0.274922,0.000004772,0,0,-0.268746
362522.045855,-0.275471,-0.000000791,0,0,-0.269147
365022.197896,-0.274525,-0.000000112,0,0,-0.269548
367522.349936,-0.275334,0.000001679,0,0,-0.269948
370022.501977,-0.274952,0.000002205,0,0,-0.270349
372522.654017,-0.275151,-0.000000662,0,0,-0.270750
375022.806057,-0.276478,-0.000000138,0,0,-0.271151
377522.958098,-0.277577,0.000003300,0,0,-0.271551
380023.110138,-0.277348,0.000000575,0,0,-0.271952
382523.262178,-0.277287,-0.000001031,0,0,-0.272353
385023.414219,-0.277211,-0.000000430,0,0,-0.272754
387523.566259,-0.277760,0.000004483,0,0,-0.273155
390023.718300,-0.279072,0.000000248,0,0,-0.273555
392523.870340,-0.279988,0.000002347,0,0,-0.273956
395024.022380,-0.279439,-0.000001068,0,0,-0.274357
397524.174421,-0.279545,-0.000000699,0,0,-0.274758
400024.326461,-0.279103,0.000000491,0,0,-0.275159
402524.478501,-0.280125,0.000004796,0,0,-0.275559
405024.630542,-0.281544,-0.000002323,0,0,-0.275960
407524.782582,-0.281712,-0.000004560,0,0,-0.276361
410024.934623,-0.282750,0.000005000,0,0,-0.276762
412525.086663,-0.282612,0.000004786,0,0,-0.277162
415025.238703,-0.282048,-0.000001608,0,0,-0.277563
417525.390744,-0.281926,-0.000004483,0,0,-0.277964
420025.542784,-0.282597,0.000005000,0,0,-0.278365
422525.694825,-0.284596,0.000004769,0,0,-0.278766
425025.846865,-0.284688,-0.000000836,0,0,-0.279166
427525.998905,-0.284566,-0.000000047,0,0,-0.279567
430026.150946,-0.285222,0.000001726,0,0,-0.279968
432526.302986,-0.284871,0.000001946,0,0,-0.280369
435026.455026,-0.284657,-0.000000771,0,0,-0.280770
437526.607067,-0.286137,-0.000000149,0,0,-0.281170
440026.759107,-0.287373,0.000003325,0,0,-0.281571
442526.911148,-0.286793,0.000000570,0,0,-0.281972
445027.063188,-0.287114,-0.000001022,0,0,-0.282373
447527.215228,-0.287083,-0.000000443,0,0,-0.282773
450027.367269,-0.287404,0.000004522,0,0,-0.283174
452527.519309,-0.288563,0.000000312,0,0,-0.283575
455027.671350,-0.289265,0.000002301,0,0,-0.283976
457527.823390,-0.288762,-0.000001100,0,0,-0.284377
460027.975430,-0.288945,-0.000001065,0,0,-0.284777
462528.127471,-0.288884,0.000000534,0,0,-0.285178
465028.279511,-0.289861,0.000004795,0,0,-0.285579
467528.431551,-0.291325,-0.000002143,0,0,-0.285980
470028.583592,-0.291173,-0.000004481,0,0,-0.286381
472528.735632,-0.291997,0.000005000,0,0,-0.286781
475028.887673,-0.292165,0.000004770,0,0,-0.287182
477529.039713,-0.291951,-0.000001659,0,0,-0.287583
480029.191753,-0.291676,-0.000004632,0,0,-0.287984
482529.343794,-0.294362,0.000005000,0,0,-0.288385
485029.495834,-0.295048,0.000004769,0,0,-0.288785
487529.647874,-0.294469,-0.000000883,0,0,-0.289186
490029.799915,-0.294286,0.000000025,0,0,-0.289587
492529.951955,-0.295171,0.000001747,0,0,-0.289988
495030.103996,-0.294454,0.000001330,0,0,-0.290388
497530.256036,-0.296834,-0.000000871,0,0,-0.290789
500030.408076,-0.296864,-0.000000086,0,0,-0.291190
502530.560117,-0.297475,0.000003539,0,0,-0.291591
