# time(s),voltage(V),current(A)
28.664229,3.240161,0.000004610
28.768171,3.235309,0.000004610
28.871914,3.114473,0.000004610
28.975884,2.684321,0.000004612
29.080420,3.073289,0.000004610
29.181727,3.218738,0.000004610
29.285785,3.100953,0.000004611
29.389808,3.086869,0.000004611
29.493970,3.042481,0.000004611
29.597828,3.240940,0.000004610
29.701689,3.244861,0.000004611
29.805477,3.116594,0.000004611
29.909794,2.699397,0.000004613
30.013461,3.285008,0.000004610
30.117287,3.588769,0.000004610
30.221420,3.100251,0.000004610
30.325351,2.583596,0.000004613
30.429373,3.189044,0.000004610
30.533432,3.530526,0.000004609
30.637431,3.094285,0.000004610
30.741363,2.187289,0.000004614
30.845173,3.088899,0.000004610
30.949119,3.212787,0.000004610
31.053133,3.105104,0.000004610
31.156821,3.078568,0.000004611
31.260766,3.041092,0.000004611
31.364835,3.239658,0.000004610
31.468629,3.176760,0.000004610
31.572747,3.111650,0.000004611
31.676510,2.732616,0.000004612
31.780750,3.273045,0.000004610
31.884572,3.515373,0.000004610
31.988666,3.099885,0.000004611
32.092308,2.578057,0.000004613
32.196664,3.184771,0.000004610
32.300716,3.509361,0.000004610
32.404332,3.110201,0.000004611
32.508319,2.341970,0.000004614
32.613086,2.737529,0.000004612
32.714394,3.257908,0.000004610
32.818180,3.533944,0.000004609
32.924115,3.063095,0.000004610
33.027982,3.048081,0.000004610
33.132232,3.235599,0.000004610
33.236612,3.147219,0.000004610
33.340036,3.110369,0.000004611
33.444316,2.878889,0.000004612
33.548114,3.265843,0.000004610
33.651896,3.514427,0.000004610
33.755854,3.099626,0.000004610
33.859621,2.504601,0.000004613
33.963764,3.169024,0.000004610
34.067737,3.515267,0.000004610
34.171645,3.108797,0.000004611
34.276022,2.273197,0.000004615
34.379588,3.093812,0.000004611
34.483264,3.214252,0.000004611
34.587570,3.107331,0.000004611
34.691480,3.057679,0.000004611
34.795579,3.043320,0.000004611
34.899405,3.234271,0.000004610
35.003568,3.144838,0.000004611
35.107305,3.113053,0.000004610
35.211338,2.826200,0.000004612
35.315128,3.256916,0.000004611
35.419569,3.470878,0.000004610
35.523102,3.099138,0.000004610
35.627215,2.493919,0.000004614
35.731119,3.168505,0.000004610
35.834974,3.504234,0.000004610
35.938807,3.100786,0.000004611
36.041939,3.031403,0.000004611
36.145996,3.055527,0.000004611
36.250097,3.225803,0.000004610
36.354432,3.108278,0.000004611
36.457871,3.095048,0.000004611
36.561686,3.009750,0.000004611
36.665988,3.236210,0.000004610
36.769788,3.398428,0.000004610
36.874022,3.111146,0.000004611
36.977751,2.648829,0.000004613
37.081817,3.274525,0.000004610
37.185670,3.630594,0.000004610
37.289834,3.109422,0.000004610
37.394120,2.641870,0.000004612
37.497522,3.171100,0.000004610
37.601691,3.571023,0.000004610
37.705874,3.089494,0.000004611
37.809627,2.357961,0.000004613
37.913692,3.086244,0.000004611
38.018092,3.214694,0.000004610
38.121497,3.103028,0.000004610
38.225235,3.112703,0.000004611
38.328797,2.744091,0.000004612
38.433114,3.271808,0.000004610
38.536502,3.537011,0.000004610
38.640581,3.099275,0.000004611
38.744597,2.491920,0.000004613
38.848397,3.174060,0.000004611
38.952501,3.516335,0.000004610
39.056562,3.109742,0.000004610
39.160567,2.313603,0.000004614
39.264676,3.103837,0.000004611
39.368387,3.215914,0.000004610
39.472548,3.104906,0.000004610
39.576087,3.044189,0.000004610
39.680232,3.052567,0.000004611
39.784341,3.229129,0.000004611
39.888291,3.111589,0.000004611
39.992213,3.099626,0.000004611
40.096194,2.950881,0.000004612
40.200189,3.239459,0.000004610
40.303905,3.388723,0.000004610
40.408268,3.100968,0.000004610
40.512445,2.546608,0.000004613
40.615949,3.252750,0.000004610
40.720031,3.616144,0.000004610
40.824110,3.105974,0.000004611
40.928017,2.668833,0.000004613
41.031886,3.168673,0.000004611
41.135597,3.680781,0.000004609
41.239841,3.094926,0.000004611
41.343640,2.607935,0.000004612
41.447769,3.075791,0.000004610
41.552180,3.225360,0.000004611
41.655632,3.099061,0.000004611
41.759489,3.088441,0.000004611
41.863636,3.029084,0.000004611
41.967541,3.239398,0.000004610
42.071628,3.214725,0.000004610
42.175502,3.109010,0.000004610
42.279393,2.719249,0.000004612
42.383802,3.276890,0.000004610
42.487443,3.558709,0.000004610
42.591847,3.097399,0.000004610
42.695622,2.505394,0.000004614
42.799559,3.176104,0.000004610
42.903527,3.499824,0.000004610
43.007377,3.104921,0.000004611
43.111340,2.331151,0.000004614
43.215238,3.098207,0.000004611
43.319466,3.213444,0.000004610
43.423529,3.102586,0.000004610
43.527386,3.054353,0.000004611
43.631449,3.045029,0.000004610
43.735190,3.228611,0.000004610
43.839197,3.105852,0.000004610
43.942949,3.093278,0.000004611
44.047253,2.942351,0.000004611
44.150992,3.236514,0.000004610
44.254985,3.407324,0.000004610
44.358904,3.108461,0.000004610
44.462986,2.581857,0.000004613
44.567125,3.275211,0.000004610
44.671210,3.622919,0.000004610
44.775131,3.099565,0.000004610
